Dataset,Density_Catch22,Mean_Density_Standard_Pairs,Coverage_Catch22,Mean_Coverage_Standard_Pairs,FID_Catch22,Mean_FID_Standard_Pairs
ArrowHead,1.6011428571428572,0.011555555555555557,0.11428571428571428,0.029206349206349205,6.240253905995918,11.515737159673451
ACSF1,0.7200000000000001,0.006444444444444445,0.06,0.016666666666666666,20.477307199443803,22.79442713623233
Adiac,0.0,0.007445296959363457,0.0,0.003694231315714692,58.56039867473037,44.17396549526916
AllGestureWiimoteX,0.13514285714285715,0.0013650793650793651,0.0014285714285714286,0.004603174603174604,12.87903538176187,9.181171703547713
AllGestureWiimoteY,0.13,0.002285714285714286,0.005714285714285714,0.006349206349206349,15.327950152814724,11.736659561748876
AllGestureWiimoteZ,0.00028571428571428574,0.002126984126984127,0.0014285714285714286,0.005238095238095239,16.743160037233316,12.170342939861584
Beef,0.22000000000000003,0.060000000000000005,0.06666666666666667,0.11851851851851854,9.788090571634967,11.802645408610193
BeetleFly,1.3800000000000001,0.32888888888888895,0.5,0.3333333333333333,2.4356382939872825,5.475174662996881
BirdChicken,0.82,0.05444444444444445,0.6,0.11666666666666667,4.637536479135573,10.778149476526686
BME,0.31200000000000006,0.0,0.02666666666666667,0.0,9.993196047861485,18.545359403347213
Car,0.61,0.022222222222222223,0.06666666666666667,0.05925925925925926,7.347881136532175,10.72767751928662
CBF,0.03288888888888889,0.0,0.0022222222222222222,0.0,9.943966179609578,20.341509532459682
Chinatown,0.053644314868804666,0.00038872691933916425,0.0029154518950437317,0.0019436345966958213,7.929316801190666,16.804982599823983
ChlorineConcentration,0.0,4.0509259259259265e-05,0.0,0.00011574074074074075,6.6743094203968845,6.788995333659186
CinCECGTorso,0.0,0.0,0.0,0.0,15.258447611999141,19.440442730794686
Coffee,0.09285714285714286,0.0,0.03571428571428571,0.0,6.665254502730898,13.297614062634699
Computers,0.4272,0.025422222222222225,0.024,0.028444444444444446,8.330113483273362,8.989046000260762
CricketX,0.19743589743589746,0.003703703703703704,0.005128205128205128,0.009686609686609686,20.732691463673724,13.770409133624991
CricketY,0.0010256410256410256,0.0020512820512820513,0.002564102564102564,0.005698005698005698,23.366282661915164,14.069283123516115
CricketZ,0.0015384615384615387,0.004786324786324786,0.002564102564102564,0.011965811965811967,24.479225458776483,13.334455647416284
Crop,0.0,0.008880952380952382,0.0,0.015456349206349208,215.49177095777577,56.931885164718196
DiatomSizeReduction,0.1568627450980392,0.0010893246187363833,0.006535947712418301,0.0021786492374727667,12.258720564596935,20.189089272858823
DistalPhalanxOutlineAgeGroup,0.4791366906474821,0.006235011990407675,0.03597122302158273,0.015187849720223821,11.456114228395748,15.075410926615925
DistalPhalanxOutlineCorrect,0.9971014492753624,0.006924315619967795,0.05434782608695652,0.01932367149758454,5.40615151861101,8.266700653434889
DistalPhalanxTW,0.15827338129496404,0.00015987210231814552,0.007194244604316547,0.0007993605115907275,21.19179711608453,25.493498565965496
DodgerLoopDay,0.034999999999999996,0.02305555555555556,0.025,0.029166666666666667,7.599633333803393,8.392741909217294
DodgerLoopGame,0.6376811594202899,0.04589371980676329,0.17391304347826086,0.07246376811594202,2.2769922802334213,4.0707398410802575
DodgerLoopWeekend,0.5057971014492754,0.024476650563607087,0.036231884057971016,0.020128824476650563,5.008914631882704,10.103637453822188
Earthquakes,0.535251798561151,0.027178257394084734,0.02877697841726619,0.05195843325339728,1.1448767741249553,1.4930385337808554
ECG200,1.938,0.08133333333333333,0.18,0.08333333333333334,6.537815867079768,12.521442598227546
ECG5000,0.2696,0.00028641975308641977,0.002,0.0005185185185185185,15.366100969546016,23.917863781357692
ECGFiveDays,0.5042973286875726,0.0002580978190734288,0.004645760743321719,0.0009033423667570008,5.766340840635612,12.998408026803345
ElectricDevices,0.0,0.001198864536952982,0.0,0.0010086600671479417,123.03115816467891,51.68044859814547
EOGHorizontalSignal,0.0,0.0011049723756906078,0.0,0.004297114794352363,32.215880040089225,17.7992817841595
EOGVerticalSignal,0.0,0.0037446286065070597,0.0,0.006445672191528545,39.50967251939266,19.68871667799863
EthanolLevel,0.0,0.0,0.0,0.0,7.807266388215272,6.007074727912159
FaceAll,0.10745562130177516,0.0013412228796844182,0.002366863905325444,0.002564102564102564,31.19184751728755,28.119483373514292
FaceFour,0.2,0.0010101010101010103,0.011363636363636364,0.0037878787878787876,7.898804700672215,13.84377162611435
FacesUCR,0.09765853658536586,0.0005203252032520326,0.0034146341463414634,0.0008130081300813008,21.106329240920353,19.612512463089743
FiftyWords,0.0,0.009377289377289379,0.0,0.02442002442002442,53.65398503935346,22.04574427278759
Fish,0.002285714285714286,0.004825396825396826,0.011428571428571429,0.01142857142857143,33.81463509782769,40.52833175342098
FordA,0.005606060606060607,0.0004208754208754209,0.0007575757575757576,0.0011784511784511786,14.135160642157912,14.764637094198466
FordB,0.008395061728395062,0.00038408779149519894,0.0012345679012345679,0.0017832647462277089,8.475488247994456,10.063522144202876
FreezerRegularTrain,0.5637894736842105,0.00036647173489278757,0.0014035087719298245,0.0007797270955165691,6.255548528523112,12.036126067695879
FreezerSmallTrain,0.10463157894736844,8.576998050682261e-05,0.0003508771929824561,0.00011695906432748537,9.85321802597905,15.592295815395467
Fungi,0.0,0.0,0.0,0.0,17.064368921856783,16.957794730361364
GestureMidAirD1,0.0030769230769230774,0.04717948717948718,0.007692307692307693,0.11196581196581196,41.69408957089439,22.925389457019733
GestureMidAirD2,0.0,0.01641025641025641,0.0,0.03760683760683761,40.51801086220972,27.88662314895114
GestureMidAirD3,0.0,0.04102564102564103,0.0,0.07094017094017094,50.2116544896558,23.400175333263576
GesturePebbleZ1,0.0,0.00012919896640826872,0.0,0.0006459948320413437,9.47610521471437,11.40108818109301
GesturePebbleZ2,0.0,0.0,0.0,0.0,11.118758851807048,13.570183856739925
GunPoint,0.30000000000000004,0.0017777777777777779,0.013333333333333334,0.005185185185185185,6.506899994885166,13.191495695061185
GunPointAgeSpan,0.7139240506329114,0.007665260196905767,0.022151898734177215,0.01230661040787623,4.625078316181082,9.65111197085424
GunPointMaleVersusFemale,0.016455696202531647,0.0,0.006329113924050633,0.0,4.711154927778721,9.39621955687363
GunPointOldVersusYoung,1.0984126984126985,0.018059964726631392,0.02857142857142857,0.022574955908289243,4.731922723377938,9.816334783742299
Ham,1.342857142857143,0.05693121693121693,0.2,0.1037037037037037,2.4790409301717267,4.217883906913301
HandOutlines,0.0,0.005285285285285286,0.0,0.006606606606606607,2.1906961055481364,1.8662539014593706
Haptics,0.0,0.008874458874458875,0.0,0.021284271284271284,12.031379760053532,6.37524622147766
Herring,0.00625,0.016319444444444445,0.015625,0.043402777777777776,3.576553610052577,3.706922430949752
HouseTwenty,0.35630252100840343,0.010644257703081233,0.04201680672268908,0.02334267040149393,6.426670718671264,12.699685120207448
InlineSkate,0.0,0.00020202020202020202,0.0,0.0008080808080808081,21.063589771239474,12.204515426649083
InsectEPGRegularTrain,0.17991967871485945,0.0031236055332440876,0.01606425702811245,0.004462293618920125,9.366194795860515,17.3607271414251
InsectEPGSmallTrain,0.048995983935742976,0.0005354752342704149,0.024096385542168676,0.0022311468094600626,8.515781421617243,15.049334873755132
InsectWingbeatSound,0.0,0.0011223344556677889,0.0,0.002525252525252525,25.653600139242855,18.213490634068464
ItalyPowerDemand,0.24781341107871724,0.0010797969981643453,0.014577259475218658,0.0029154518950437317,2.9052783600061454,6.929008321307603
LargeKitchenAppliances,0.6474666666666667,0.005392592592592593,0.029333333333333333,0.010074074074074076,6.153653210482275,8.981169775218493
Lightning2,0.3278688524590164,0.0575591985428051,0.06557377049180328,0.10018214936247723,4.857784603539248,6.78843228247949
Lightning7,0.15068493150684933,0.00365296803652968,0.0136986301369863,0.0106544901065449,11.220864386887035,12.055120817710632
Mallat,0.0,0.0,0.0,0.0,9.575881651848807,9.551609862328151
Meat,0.54,0.031111111111111114,0.05,0.053703703703703705,7.601249685199131,10.972123512029928
MedicalImages,0.19131578947368422,0.004415204678362573,0.006578947368421052,0.008333333333333333,22.114613171397032,20.477025912916716
MelbournePedestrian,1.1833538335383353,0.0009384538289827342,0.006970069700697007,0.002551136622477336,38.94443841419993,35.99488732423342
MiddlePhalanxOutlineCorrect,0.325085910652921,0.006261932035127912,0.024054982817869417,0.016036655211912946,4.9101341351932035,7.273152602026586
MiddlePhalanxOutlineAgeGroup,0.3181818181818182,0.008658008658008658,0.01948051948051948,0.017316017316017316,9.634381346863565,11.258699810298134
MiddlePhalanxTW,0.0,0.005050505050505051,0.0,0.011544011544011544,19.825809947557083,17.86725956960492
MixedShapesRegularTrain,0.0,0.0006139747995418099,0.0,0.0014662084765177548,20.331207581808293,20.509103017062362
MixedShapesSmallTrain,0.04189690721649485,0.00031156930126002293,0.0004123711340206186,0.0010080183276059565,12.551463263325655,15.714798413061564
MoteStrain,0.20782747603833865,0.0019169329073482429,0.03913738019169329,0.004259850905218317,4.384261766160719,11.328382166356336
NonInvasiveFetalECGThorax1,0.0,5.6545094713033655e-05,0.0,5.654509471303364e-05,148.2467998778721,42.969109472684345
NonInvasiveFetalECGThorax2,0.0,2.261803788521346e-05,0.0,0.00011309018942606728,107.94300457766303,40.18112835472188
OliveOil,0.006666666666666667,0.0022222222222222227,0.03333333333333333,0.003703703703703704,3.8041751196822737,9.737272988077924
OSULeaf,0.0,0.00036730945821854917,0.0,0.0013774104683195593,12.467736899897364,16.098622596900164
PhalangesOutlinesCorrect,0.23986013986013988,0.004066304066304066,0.002331002331002331,0.005050505050505051,4.05496707280506,4.723209007999994
Phoneme,0.0,0.004594467885607126,0.0,0.01090014064697609,49.519162058923875,20.829705347062458
PickupGestureWiimoteZ,0.43200000000000005,0.021333333333333333,0.06,0.05555555555555555,12.693463318590808,14.179328214963668
PigAirwayPressure,0.6971153846153846,0.012286324786324788,0.028846153846153848,0.010149572649572648,65.69708124561488,37.99177432885089
PigArtPressure,0.0,0.03418803418803419,0.0,0.049145299145299144,48.46133596860331,30.142512921791017
PigCVP,0.0,0.026068376068376073,0.0,0.06303418803418803,46.9545972969221,24.22220302590827
PLAID,0.0,0.0026070763500931097,0.0,0.0028967515001034555,27.033034269743766,16.450214047623426
Plane,0.01904761904761905,0.0,0.009523809523809525,0.0,23.542276249398313,32.534416389372346
PowerCons,1.2755555555555558,0.023333333333333334,0.12222222222222222,0.043209876543209874,6.19991149157005,12.26072033811991
ProximalPhalanxOutlineCorrect,0.02336769759450172,0.002290950744558992,0.006872852233676976,0.0057273768613974796,4.080390879511608,6.330118665079106
ProximalPhalanxOutlineAgeGroup,0.0,0.0005420054200542005,0.0,0.002168021680216802,8.46177224326188,11.406398347583247
ProximalPhalanxTW,0.0,0.0,0.0,0.0,17.756683518456235,22.385996793370612
RefrigerationDevices,1.3349333333333335,0.007940740740740741,0.058666666666666666,0.014814814814814815,10.443942360262245,13.942440911122526
Rock,0.0,0.0071111111111111115,0.0,0.02,8.45487163202952,11.839054098105427
ScreenType,0.0048000000000000004,0.02494814814814815,0.008,0.020148148148148148,7.242421311239527,7.060408316186457
SemgHandGenderCh2,0.281,0.0011851851851851854,0.0033333333333333335,0.002037037037037037,3.7772536845740294,3.507856592591852
SemgHandMovementCh2,0.0,0.0002469135802469136,0.0,0.0009876543209876543,9.898876800638636,4.89999387544286
SemgHandSubjectCh2,0.0,0.008740740740740742,0.0,0.003703703703703704,12.981689885328556,6.625924115127635
ShakeGestureWiimoteZ,2.048,0.14400000000000002,0.38,0.2222222222222222,13.493204098703135,16.441499180068035
ShapeletSim,0.2066666666666667,0.015679012345679016,0.044444444444444446,0.02839506172839506,0.6024679781222066,1.184019224187074
ShapesAll,0.0,0.0024074074074074076,0.0,0.007037037037037038,121.09455773207542,43.50499436094594
SmallKitchenAppliances,0.0,0.0005925925925925927,0.0,0.0017777777777777779,11.58263924684999,11.373665132415693
SmoothSubspace,0.34800000000000003,0.006370370370370371,0.02,0.01037037037037037,11.064094629263899,22.882217138984682
SonyAIBORobotSurface1,0.18236272878535775,0.0014050656313551488,0.008319467554076539,0.002958032908116103,7.859851779892821,15.43401001145369
SonyAIBORobotSurface2,0.6350472193074501,0.0036609537134196114,0.011542497376705142,0.009443861490031479,8.149215466822206,14.690731207393023
StarLightCurves,0.0,0.0,0.0,0.0,15.588640188394388,15.873178893935156
Strawberry,0.5097297297297297,0.014414414414414418,0.016216216216216217,0.015315315315315317,5.244958511300048,7.462563895741831
SwedishLeaf,0.00064,0.0002133333333333333,0.0016,0.0008888888888888889,39.58405148983695,35.01009442243739
Symbols,0.168643216080402,0.001094360692350642,0.0010050251256281408,0.000446677833612507,14.326173011776746,21.307955810927826
SyntheticControl,0.0,0.0,0.0,0.0,21.072177944927404,36.652456860948654
ToeSegmentation1,1.1385964912280702,0.020760233918128652,0.08333333333333333,0.03654970760233918,6.107141078021132,12.599567314474942
ToeSegmentation2,0.9784615384615386,0.04136752136752137,0.09230769230769231,0.03675213675213675,5.603568691108381,12.04783037393668
Trace,0.0,0.0,0.0,0.0,12.583880246929446,20.735649056904663
TwoLeadECG,0.22493415276558384,0.0010730660423373332,0.001755926251097454,0.001268168959125939,8.327495245714037,15.783217745189196
TwoPatterns,0.0,0.0,0.0,0.0,24.083140054651565,38.02662179071676
UMD,0.2,0.00154320987654321,0.006944444444444444,0.00462962962962963,8.431280475951652,16.57388230591566
UWaveGestureLibraryAll,0.0,0.00011787331720330047,0.0,0.00043427011601215957,37.52648201332882,17.914309769905273
UWaveGestureLibraryX,0.0,0.00037843538681059624,0.0,0.0014579068180408214,40.33281230367444,22.582933595442917
UWaveGestureLibraryY,0.0,0.001532353123642906,0.0,0.003691295986103356,46.44121870672777,21.468881215165396
UWaveGestureLibraryZ,0.0,0.0004404739748123333,0.0,0.001550964700043427,42.96209244933539,22.034162751793854
Wafer,0.0003893575600259572,7.570841444949167e-05,0.0003244646333549643,0.0001081548777849881,14.137211829218495,22.52909599480796
Wine,0.6000000000000001,0.4283950617283951,0.05555555555555555,0.05555555555555555,9.832214779412801,11.177399544266468
WordSynonyms,0.0,0.011041448972483455,0.0,0.02560083594566353,31.490825794623547,16.212740536187138
Worms,0.08051948051948053,0.0406926406926407,0.025974025974025976,0.08225108225108227,11.583572666083294,9.767221319340782
WormsTwoClass,0.6181818181818182,0.032034632034632034,0.06493506493506493,0.05627705627705627,4.363338567702304,4.4536191843343165
Yoga,0.004,0.0008444444444444444,0.0003333333333333333,0.0006666666666666666,4.405890559650649,4.870314294190397
